epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.005,1.24592,3.15598,0.00795,0.728,0.42912,0.48086,0.30329,1.20693,3.84579,0.00733,0.000408333,0.000408333,0.000408333
2,882.498,1.20264,2.34784,0.00685,0.52018,0.53324,0.55187,0.3516,1.19365,2.96798,0.0072,0.000824798,0.000824798,0.000824798
3,1358.79,1.30687,1.97165,0.00779,0.61126,0.53888,0.57218,0.35995,1.26521,2.39225,0.00776,0.00124045,0.00124045,0.00124045
4,1833.64,1.35866,1.59334,0.00769,0.47608,0.52458,0.55681,0.36022,1.23027,1.99706,0.00749,0.00124725,0.00124725,0.00124725
5,2303.88,1.32042,1.42274,0.00738,0.65395,0.55187,0.61321,0.38132,1.32334,1.7706,0.00854,0.00124512,0.00124512,0.00124512
6,2772.18,1.29634,1.25244,0.00704,0.66693,0.54291,0.62197,0.40768,1.25626,1.48419,0.00766,0.00124238,0.00124238,0.00124238
7,3239.34,1.26189,1.19812,0.00776,0.52874,0.55764,0.56351,0.35641,1.25582,1.45786,0.0076,0.00123904,0.00123904,0.00123904
8,3710.21,1.30279,1.07161,0.0067,0.66435,0.64072,0.65257,0.41238,1.23213,1.34845,0.00766,0.0012351,0.0012351,0.0012351
9,4217.5,1.27753,1.04057,0.00721,0.56912,0.63543,0.63941,0.4187,1.21044,1.18446,0.00709,0.00123056,0.00123056,0.00123056
10,4701.45,1.2817,1.01468,0.00755,0.79033,0.58008,0.6778,0.44191,1.18972,1.05934,0.00704,0.00122543,0.00122543,0.00122543
11,5174.95,1.2693,0.93783,0.00661,0.73387,0.61919,0.68127,0.45071,1.21199,0.98588,0.00708,0.00121972,0.00121972,0.00121972
12,5640.13,1.26754,0.95672,0.00761,0.71166,0.60788,0.66108,0.4144,1.29273,1.00577,0.00778,0.00121342,0.00121342,0.00121342
13,6113.78,1.28169,0.89023,0.00709,0.82176,0.5527,0.66919,0.44069,1.19088,0.9345,0.00707,0.00120655,0.00120655,0.00120655
14,6580.47,1.23748,0.86232,0.00732,0.81093,0.56712,0.65544,0.41868,1.26972,0.93697,0.00791,0.00119911,0.00119911,0.00119911
15,7053.82,1.23413,0.83016,0.00663,0.65867,0.66435,0.66678,0.43111,1.24583,0.91956,0.00734,0.00119111,0.00119111,0.00119111
16,7519.24,1.24129,0.7997,0.00679,0.69846,0.61838,0.67176,0.42499,1.25933,0.93954,0.00741,0.00118256,0.00118256,0.00118256
17,7987.92,1.22262,0.78763,0.0065,0.73699,0.67863,0.7266,0.4671,1.25024,0.80904,0.00714,0.00117346,0.00117346,0.00117346
