epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.773,1.05459,2.06164,0.00551,0.76624,0.7119,0.77209,0.5267,1.15545,2.81044,0.01035,0.000467977,0.000467977,0.000467977
2,1337.73,1.12987,1.43374,0.00658,0.81982,0.68785,0.80342,0.49648,1.24862,2.02473,0.0136,0.000943669,0.000943669,0.000943669
3,1911.13,1.13689,1.11934,0.00719,0.697,0.7034,0.74883,0.48589,1.2276,1.52084,0.01214,0.00141679,0.00141679,0.00141679
4,2435.06,1.16824,0.96063,0.00736,0.85214,0.70859,0.81203,0.52642,1.24159,1.32592,0.01242,0.00142029,0.00142029,0.00142029
5,2963.95,1.21222,0.87667,0.00737,0.86953,0.73919,0.83272,0.52793,1.28426,1.06644,0.01394,0.00141354,0.00141354,0.00141354
6,3496.11,1.20652,0.80306,0.00704,0.75578,0.76856,0.79422,0.52324,1.19848,1.01921,0.01096,0.0014049,0.0014049,0.0014049
7,4034.51,1.17781,0.7831,0.00719,0.86774,0.72789,0.84284,0.56316,1.2011,0.84863,0.01195,0.00139438,0.00139438,0.00139438
8,4566.1,1.14863,0.76138,0.00728,0.84796,0.73462,0.84033,0.56769,1.14621,0.79446,0.01053,0.00138202,0.00138202,0.00138202
9,5086.66,1.15876,0.71744,0.00728,0.86176,0.7608,0.83829,0.55401,1.21574,0.79819,0.01138,0.00136785,0.00136785,0.00136785
10,5619.68,1.15746,0.70247,0.00714,0.80539,0.77875,0.83932,0.5541,1.22186,0.78248,0.01171,0.0013519,0.0013519,0.0013519
11,6259.46,1.16968,0.67869,0.00716,0.84877,0.76751,0.85711,0.57176,1.18212,0.87804,0.01102,0.00133423,0.00133423,0.00133423
12,6805.57,1.17197,0.66798,0.00687,0.85343,0.75601,0.85198,0.57394,1.15775,0.73518,0.01043,0.00131488,0.00131488,0.00131488
13,7442.68,1.18439,0.6756,0.00646,0.86393,0.73698,0.86404,0.57159,1.18147,0.76778,0.01173,0.00129391,0.00129391,0.00129391
14,8031.74,1.12687,0.66153,0.00707,0.85215,0.75744,0.85974,0.57735,1.15529,0.74525,0.01149,0.00127136,0.00127136,0.00127136
15,8686.8,1.12878,0.64242,0.00701,0.82019,0.77465,0.84988,0.58537,1.14275,0.68643,0.01013,0.00124731,0.00124731,0.00124731
16,9210.38,1.1602,0.66133,0.00667,0.87013,0.76941,0.84406,0.57122,1.17425,0.71194,0.01109,0.00122182,0.00122182,0.00122182
17,9728.48,1.12032,0.61922,0.00646,0.8494,0.78515,0.86441,0.57397,1.19683,0.65205,0.01125,0.00119496,0.00119496,0.00119496
18,10238.3,1.10933,0.63023,0.0063,0.86677,0.78737,0.86773,0.59156,1.14071,0.65155,0.01038,0.0011668,0.0011668,0.0011668
19,10764.4,1.15335,0.61888,0.00638,0.8488,0.78811,0.87166,0.59982,1.12399,0.73866,0.00962,0.00113742,0.00113742,0.00113742
20,11340.8,1.11288,0.58953,0.00654,0.84573,0.75969,0.85473,0.57329,1.18068,0.76319,0.01079,0.0011069,0.0011069,0.0011069
21,11870,1.13178,0.59156,0.00666,0.87885,0.75908,0.849,0.56951,1.20202,0.77156,0.01181,0.00107532,0.00107532,0.00107532
22,12460.1,1.11615,0.58378,0.00591,0.91223,0.7737,0.862,0.58431,1.16885,0.70454,0.01068,0.00104278,0.00104278,0.00104278
23,13224,1.11722,0.58234,0.00599,0.8446,0.80142,0.86781,0.5932,1.14451,0.73619,0.01043,0.00100935,0.00100935,0.00100935
24,13863.4,1.05709,0.52624,0.0065,0.8772,0.77928,0.86748,0.59248,1.15246,0.66012,0.00977,0.000975138,0.000975138,0.000975138
25,14732.3,1.08016,0.54801,0.00601,0.87331,0.79975,0.88606,0.60756,1.1499,0.61133,0.01034,0.00094023,0.00094023,0.00094023
26,15668.4,1.07453,0.55419,0.00593,0.85649,0.79252,0.88053,0.59793,1.13313,0.61796,0.01011,0.000904722,0.000904722,0.000904722
27,16560.7,1.07102,0.52462,0.00572,0.84975,0.7913,0.86222,0.5921,1.13866,0.61785,0.00973,0.000868712,0.000868712,0.000868712
28,17203.3,1.06214,0.52191,0.00562,0.85538,0.77437,0.86814,0.59402,1.12735,0.6189,0.00977,0.0008323,0.0008323,0.0008323
29,17939.8,1.04911,0.51222,0.00551,0.8936,0.78192,0.87537,0.60465,1.15197,0.58898,0.01051,0.000795584,0.000795584,0.000795584
30,18669.7,1.05271,0.52425,0.00525,0.87786,0.81454,0.88632,0.60961,1.14121,0.59832,0.01013,0.000758665,0.000758665,0.000758665
31,19683.4,1.0542,0.51077,0.00594,0.88315,0.80031,0.88495,0.60233,1.14091,0.63458,0.01075,0.000721645,0.000721645,0.000721645
32,20395,0.99696,0.47324,0.00587,0.86827,0.80888,0.88176,0.61487,1.12715,0.58287,0.00993,0.000684625,0.000684625,0.000684625
33,20935.9,1.04794,0.50355,0.0055,0.85835,0.80925,0.87594,0.60364,1.11559,0.6236,0.01012,0.000647706,0.000647706,0.000647706
34,21457.1,0.97712,0.48327,0.00546,0.89565,0.78634,0.87747,0.6089,1.10358,0.62165,0.00991,0.00061099,0.00061099,0.00061099
35,22008.2,1.02048,0.47483,0.00523,0.83982,0.8189,0.86767,0.59042,1.16112,0.61797,0.01079,0.000574578,0.000574578,0.000574578
36,22520.8,0.98035,0.4606,0.0055,0.86669,0.76648,0.85901,0.59361,1.11811,0.63909,0.01051,0.000538568,0.000538568,0.000538568
