epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;492.943;181.899;463.734;0.007;0.01183;0.45926;0.14039;0.08286;12.336;567.095;0.00743;0.000463798;0.000463798;0.000463798
2;953.238;145.322;311.827;0.00531;0.6144;0.21163;0.22888;0.1417;125.535;480.904;0.00812;0.000909107;0.000909107;0.000909107
3;14475.8;148.363;255.951;0.00495;0.59862;0.17619;0.22104;0.1388;127.995;385.437;0.00821;0.00132298;0.00132298;0.00132298
4;14805.4;14.042;224.002;0.005;0.73251;0.35151;0.39752;0.24525;127.862;290.281;0.00808;0.00128753;0.00128753;0.00128753
5;15219.7;146.165;190.184;0.00493;0.71272;0.37671;0.42218;0.27094;131.439;234.918;0.00806;0.00124037;0.00124037;0.00124037
6;15602.3;138.918;170.126;0.00505;0.77175;0.41904;0.48047;0.30581;12.707;194.064;0.00787;0.00119322;0.00119322;0.00119322
7;15979.3;143.181;164.654;0.00474;0.44235;0.43057;0.47325;0.30363;12.595;19.197;0.00787;0.00114606;0.00114606;0.00114606
8;16330.9;137.985;154.456;0.00494;0.78114;0.45906;0.51787;0.32321;127.045;168.196;0.00761;0.0010989;0.0010989;0.0010989
9;16683.5;13.749;137.521;0.0049;0.64014;0.5173;0.53655;0.33941;125.508;149.628;0.00776;0.00105174;0.00105174;0.00105174
10;17034.4;137.583;126.476;0.00462;0.62273;0.53018;0.5458;0.35047;127.012;137.418;0.00774;0.00100459;0.00100459;0.00100459
11;17377.9;137.984;118.599;0.00462;0.5834;0.51594;0.56154;0.36921;12.145;135.338;0.00735;0.00095743;0.00095743;0.00095743
12;17728.3;128.011;110.024;0.00454;0.55236;0.55793;0.55391;0.3547;123.966;123.785;0.00748;0.000910273;0.000910273;0.000910273
13;18076.1;131.772;103.651;0.00444;0.72142;0.52269;0.5984;0.38453;122.683;115.691;0.00733;0.000863116;0.000863116;0.000863116
14;18437;12.647;0.98673;0.00457;0.66583;0.54551;0.61426;0.39763;122.382;111.244;0.00759;0.000815959;0.000815959;0.000815959
15;18786.3;124.889;0.97942;0.00429;0.61297;0.60182;0.60921;0.40207;115.854;103.019;0.00661;0.000768802;0.000768802;0.000768802
16;19155.5;125.464;0.95118;0.00423;0.62342;0.61748;0.65036;0.42363;119.853;0.9386;0.00697;0.000721645;0.000721645;0.000721645
17;19492.1;126.139;0.89302;0.00413;0.66126;0.61171;0.66214;0.43019;12.076;0.94939;0.00745;0.000674488;0.000674488;0.000674488
18;19813.7;129.889;0.88903;0.00415;0.69693;0.56316;0.64827;0.4343;115.513;0.91023;0.00662;0.000627331;0.000627331;0.000627331
19;20127.3;129.448;0.86486;0.00425;0.66841;0.64969;0.6757;0.4449;115.633;0.91432;0.00659;0.000580174;0.000580174;0.000580174
20;20442.9;123.814;0.82698;0.00415;0.66819;0.62949;0.66028;0.42671;118.269;0.85639;0.00668;0.000533017;0.000533017;0.000533017
21;20741.2;117.845;0.83062;0.00467;0.59944;0.64448;0.64927;0.41152;122.543;0.87559;0.00718;0.00048586;0.00048586;0.00048586
22;21049.5;119.441;0.77712;0.00456;0.65948;0.6606;0.68512;0.4421;116.712;0.87482;0.00667;0.000438703;0.000438703;0.000438703
23;21356.7;118.974;0.77511;0.00449;0.7333;0.62869;0.68922;0.45383;116.574;0.83792;0.00656;0.000391546;0.000391546;0.000391546
24;21665.6;117.539;0.73364;0.0042;0.67669;0.65089;0.69094;0.44863;116.159;0.81739;0.00661;0.000344389;0.000344389;0.000344389
25;21987.6;115.318;0.73804;0.0044;0.64914;0.67921;0.68669;0.45491;115.866;0.82761;0.00662;0.000297232;0.000297232;0.000297232
26;22311.6;115.489;0.69364;0.00417;0.69687;0.62271;0.69458;0.45281;11.848;0.79168;0.00688;0.000250075;0.000250075;0.000250075
27;22617.8;11.386;0.71578;0.00422;0.7432;0.55672;0.68486;0.46146;112.109;0.79469;0.00632;0.000202918;0.000202918;0.000202918
28;22923.8;112.661;0.67974;0.00422;0.66112;0.6241;0.67983;0.4499;11.544;0.77804;0.00651;0.000155761;0.000155761;0.000155761
29;23241.4;111.077;0.67132;0.00412;0.71738;0.59227;0.68741;0.4609;114.071;0.76659;0.00642;0.000108604;0.000108604;0.000108604
30;23545.2;113.536;0.68805;0.00414;0.69911;0.60742;0.69027;0.46131;113.875;0.76592;0.00641;6,14E-01;6,14E-01;6,14E-01
